,name,function,chain,date
0,Poly Network,Exploit,ETH,10.08.2021
1,Boy X Highspeed,Exploit,BSC,30.10.2021
2,Cream Finance,Flash loan,ETH,27.10.2021
3,Compound Labs,Exploit,ETH,26.11.2020
4,Venus,Exploit,BSC,18.05.2021
5,Compound Labs (2),Exploit,ETH,30.09.2021
6,AnubisDAO,Exit Scam,ETH,29.10.2021
7,EasyFi,Exploit,ETH,19.04.2021
8,Uranium Finance (2),Exploit,BSC,28.04.2021
9,TheDAO,Exploit,ETH,17.06.2016
10,bZx (4),Access control,"BSC
+ 1",05.11.2021
11,PancakeBunny,Flash loan,BSC,19.05.2021
12,Alpha Finance Lab,Flash loan,ETH,13.02.2021
13,Vee Finance,Exploit,AVAX,21.09.2021
14,Meerkat Finance,Exit Scam,BSC,04.03.2021
15,Spartan Protocol,Flash loan,BSC,02.05.2021
16,Paid Network (old),Exploit,ETH,05.03.2021
17,StableMagnet,Exit Scam,BSC,23.06.2021
18,Lendf.Me,Exploit,ETH,19.04.2020
19,xToken,Flash loan,ETH,12.05.2021
20,Harvest Finance,Flash loan,ETH,26.10.2020
21,Bancor,Exploit,ETH,09.07.2018
22,Popsicle Finance,Exploit,ETH,03.08.2021
23,Yfdex.Finance,Exit Scam,ETH,09.09.2020
24,Pickle Finance,Exploit,ETH,21.11.2020
25,Cream Finance,Exploit,ETH,31.08.2021
26,Squid Game,Exit Scam,BSC,01.11.2021
27,Indexed Finance,Exploit,ETH,14.10.2021
28,Rari Capital,Flash loan,ETH,08.05.2021
29,Eminence Finance,Flash loan,ETH,29.09.2020
30,FURUCOMBO,Exploit,ETH,01.03.2021
31,pNetwork,Exploit,BSC,19.09.2021
32,Compounder Finance,Exit Scam,ETH,01.12.2020
33,yearn.finance,Flash loan,ETH,05.02.2021
34,bEarn Fi,Flash loan,BSC,16.05.2021
35,Value DeFi (3),Exploit,ETH,07.05.2021
36,SharkTron,Exit Scam,TRON,28.10.2020
37,Value DeFi (2),Exploit,ETH,05.05.2021
38,Cover Protocol,Exploit,ETH,28.12.2020
39,Punk Protocol,Exploit,BSC,10.08.2021
40,bZx (3),Exploit,ETH,13.09.2020
41,Origin Protocol,Flash loan,ETH,17.11.2020
42,THORChain (2),Exploit,ETH,22.07.2021
43,Warp Finance,Flash loan,ETH,18.12.2020
44,BurgerSwap,Flash loan,BSC,29.05.2021
45,Value DeFi,Flash loan,ETH,14.11.2020
46,DAO Maker,Exploit,ETH,12.08.2021
47,Luna Yield,Exit Scam,SOLANA,20.08.2021
48,Belt Finance,Flash loan,BSC,29.05.2021
49,XSURGE,Flash loan,BSC,16.08.2021
50,xToken (2),Flash loan,ETH,29.08.2021
